County Name,Median Home Price Q4 2023,Monthly Payment Q4 2023,Monthly Payment Q4 2022
"Poquoson city,  Virginia","$432,100 ","$2,670 ","$2,360 "
"Walton County,  Florida","$431,970 ","$2,670 ","$2,310 "
"Charlottesville city,  Virginia","$430,530 ","$2,660 ","$2,310 "
"Montgomery County,  Pennsylvania","$430,230 ","$2,650 ","$2,400 "
"Prince George's County,  Maryland","$429,940 ","$2,650 ","$2,390 "
"Los Alamos County,  New Mexico","$429,360 ","$2,650 ","$2,400 "
"James City County,  Virginia","$428,270 ","$2,640 ","$2,340 "
"Butte County,  California","$427,480 ","$2,640 ","$2,400 "
"Mecklenburg County,  North Carolina","$426,200 ","$2,630 ","$2,340 "
"Madera County,  California","$424,890 ","$2,620 ","$2,300 "
"Sarasota County,  Florida","$424,370 ","$2,620 ","$2,360 "
"Dare County,  North Carolina","$424,090 ","$2,620 ","$2,250 "
"Worcester County,  Massachusetts","$423,460 ","$2,610 ","$2,290 "
"Talbot County,  Maryland","$422,160 ","$2,600 ","$2,220 "
"Oconee County,  Georgia","$422,120 ","$2,600 ","$2,260 "
"Carver County,  Minnesota","$422,080 ","$2,600 ","$2,380 "
"Cobb County,  Georgia","$420,830 ","$2,600 ","$2,310 "
"Hamilton County,  Indiana","$419,590 ","$2,590 ","$2,250 "
"Washington County,  Minnesota","$418,280 ","$2,580 ","$2,360 "
"Charles County,  Maryland","$418,110 ","$2,580 ","$2,320 "
"Chatham County,  North Carolina","$417,060 ","$2,570 ","$2,300 "
"Oldham County,  Kentucky","$417,040 ","$2,570 ","$2,300 "
"York County,  Maine","$416,800 ","$2,570 ","$2,220 "
"Clatsop County,  Oregon","$416,100 ","$2,570 ","$2,370 "
"Park County,  Montana","$415,670 ","$2,560 ","$2,320 "
"Manatee County,  Florida","$415,500 ","$2,560 ","$2,310 "
"Teller County,  Colorado","$415,430 ","$2,560 ","$2,350 "
"Comal County,  Texas","$415,370 ","$2,560 ","$2,350 "
"Amador County,  California","$415,320 ","$2,560 ","$2,380 "
"Josephine County,  Oregon","$414,670 ","$2,560 ","$2,360 "
"Waukesha County,  Wisconsin","$414,100 ","$2,560 ","$2,210 "
"Juneau City and Borough,  Alaska","$413,220 ","$2,550 ","$2,350 "
"Marion County,  Oregon","$413,170 ","$2,550 ","$2,300 "
"Spokane County,  Washington","$412,920 ","$2,550 ","$2,410 "
"Manassas city,  Virginia","$412,250 ","$2,540 ","$2,290 "
"Gillespie County,  Texas","$412,130 ","$2,540 ","$2,320 "
"Spotsylvania County,  Virginia","$410,160 ","$2,530 ","$2,280 "
"Calaveras County,  California","$409,840 ","$2,530 ","$2,350 "
"Williamsburg city,  Virginia","$409,680 ","$2,530 ","$2,240 "
"Leelanau County,  Michigan","$409,500 ","$2,530 ","$2,160 "
"Sumner County,  Tennessee","$409,130 ","$2,520 ","$2,300 "
"Dutchess County,  New York","$407,870 ","$2,520 ","$2,180 "
"Cowlitz County,  Washington","$407,760 ","$2,520 ","$2,400 "
"New Hanover County,  North Carolina","$407,740 ","$2,520 ","$2,140 "
"Scott County,  Minnesota","$406,450 ","$2,510 ","$2,300 "
"Canyon County,  Idaho","$406,260 ","$2,510 ","$2,310 "
"Ocean County,  New Jersey","$405,680 ","$2,500 ","$2,200 "
"Hanover County,  Virginia","$405,550 ","$2,500 ","$2,160 "
"Dane County,  Wisconsin","$404,870 ","$2,500 ","$2,170 "
"Orange County,  New York","$404,380 ","$2,500 ","$2,160 "
"Ozaukee County,  Wisconsin","$403,740 ","$2,490 ","$2,150 "
"Gwinnett County,  Georgia","$403,600 ","$2,490 ","$2,220 "
"Seminole County,  Florida","$403,440 ","$2,490 ","$2,240 "
"Merrimack County,  New Hampshire","$401,350 ","$2,480 ","$2,090 "
"Rutherford County,  Tennessee","$400,640 ","$2,470 ","$2,250 "
"Benton County,  Washington","$400,330 ","$2,470 ","$2,290 "
"King George County,  Virginia","$400,150 ","$2,470 ","$2,160 "
"Mesa County,  Colorado","$398,420 ","$2,460 ","$2,170 "
"Lewis and Clark County,  Montana","$398,100 ","$2,460 ","$2,220 "
"Sumter County,  Florida","$397,940 ","$2,460 ","$2,130 "
"Culpeper County,  Virginia","$397,250 ","$2,450 ","$2,150 "
"Durham County,  North Carolina","$396,980 ","$2,450 ","$2,190 "
"Nassau County,  Florida","$396,770 ","$2,450 ","$2,220 "
"Washtenaw County,  Michigan","$396,330 ","$2,450 ","$2,120 "
"Mineral County,  Colorado","$396,180 ","$2,440 ","$2,200 "
"Merced County,  California","$396,050 ","$2,440 ","$2,260 "
"Fresno County,  California","$395,990 ","$2,440 ","$2,220 "
"Lewis County,  Washington","$395,940 ","$2,440 ","$2,200 "
"Johnson County,  Kansas","$395,700 ","$2,440 ","$2,150 "
"Buncombe County,  North Carolina","$395,020 ","$2,440 ","$2,170 "
"Orange County,  Florida","$394,980 ","$2,440 ","$2,200 "
"Douglas County,  Washington","$394,260 ","$2,430 ","$2,130 "
